"id","V1_lifestyle","V2_country","V3_plants","V4_myself","V5_people","V6_animals","V7_health","V8_children","V9_marine","V10_myfuture","V11_generation","V12_birds","B1_condition","B2_worry","B3_proof","B4_impact","B5_future","B6_diference","B7_humanaction","B8_negative","B9_mypart","T1_public","T1covid_public","E1_lights","E1covid_lights","W1_shower","W1covid_shower","F1_meat","F1covid_meat","G1_waste","G1covid_waste","P1_test","P1covid_test","T2_foot","T2covid_foot","E2_heat","E2covid_heat","W2_machine","W2covid_machine","F2_eggs","F2covid_eggs","G2_sort","G2covid_sort","P2_local","P2covid_local","T3_flight","T3covid_flight","E3_tv","E3covid_tv","W3_tap","W3covid_tap","F3_fish","F3covid_fish","G3_disposable","G3covid_disposable","T4_noplain","T4covid_noplain","E4_household","E4covid_household","F4_vegetable","F4covid_vegetable","G4_leftover","G4covid_leftover","CU1_techno","CG1_objectives","IR1_critic","LK1_confusion","T1_unnecessary","CU2_impotent","CG2_time","IR2_disappointment","LK2_understand","T2_sacrifice","CU3_distant","CG3_like","IR3_friends","LK3_begin","T3_effort","CU4_area","CG4_habit","IR4_shame","LK4_government","T4_difference","CU5_trivial","CG5_work","T5_industry","T6_government","behavior","Difficulty","age","sex","language","nationality","local","edu","parentI","parentII","activism"
"1",1,6,7,5,6,7,5,7,7,5,7,7,4,4,4,5,5,4,5,4,5,3,3,5,5,3,3,3,3,2,2,4,4,1,1,5,5,5,5,3,3,5,5,4,4,5,5,4,4,4,4,2,2,3,3,5,5,3,3,4,4,4,4,2,4,1,1,5,2,4,2,5,2,1,2,2,3,3,3,4,1,5,2,3,6,2,2,"taking public transport, cycling, or walking rather than driving","High",61,"female","ptpt","pt","Madeira","Master","Bachelor","High School","yes"
"2",1,3,7,4,7,7,4,7,7,4,7,7,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,3,3,5,5,5,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,5,"eating less meat","High",43,"female","ptpt","pt","Porto","Bachelor","High School","Bachelor","no"
"20096",7,7,7,7,7,7,4,7,7,4,6,7,5,5,5,5,5,2,3,3,3,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,4,4,"making more eco-friendly purchases","High",21,"other","ptbr","br","Viseu","High School","Bachelor","Bachelor","no"
"20109",6,4,4,6,4,4,7,6,5,7,5,5,5,4,5,5,5,4,5,5,4,5,3,4,4,3,3,1,1,3,3,2,1,3,2,4,3,4,2,3,2,1,2,1,4,4,4,4,4,4,3,1,1,4,2,3,1,3,2,3,2,2,1,2,2,1,2,1,1,3,1,2,2,1,4,1,2,1,1,5,1,6,3,1,2,4,3,"making more eco-friendly purchases","High",21,"female","ptbr","br","Porto","High School","Bachelor","Bachelor","no"
"20122",3,4,4,3,7,7,4,5,5,6,7,5,5,5,5,5,5,4,5,4,4,3,3,4,4,5,5,5,5,4,4,5,5,4,4,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,3,4,3,3,3,3,5,5,4,4,3,3,1,1,2,1,4,1,1,1,1,1,1,1,1,1,3,1,5,4,1,1,3,4,"making more eco-friendly purchases","High",22,"female","ptpt","pt","Braga","High School","High School","9° Grade","no"
"20199",4,6,6,5,7,7,6,6,7,6,6,7,5,5,5,5,5,5,5,5,5,2,2,5,5,3,3,3,3,5,5,4,4,5,5,5,5,5,5,4,4,5,5,3,3,5,5,5,5,5,5,4,4,4,4,5,5,3,3,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,6,4,2,1,2,6,"eating less meat","High",23,"male","ptpt","pt","Madeira","Master","4° Grade","4° Grade","no"
"20505",5,7,7,7,7,7,7,7,7,6,7,7,5,5,5,4,5,5,5,5,4,2,2,5,5,5,5,3,3,4,4,2,2,1,1,4,4,5,5,3,3,5,5,4,4,4,4,3,3,4,4,3,3,5,5,3,3,5,5,4,4,4,4,2,4,2,1,4,1,5,1,1,2,1,1,1,3,1,1,4,1,4,2,1,3,1,5,"taking public transport, cycling, or walking rather than driving","High",70,"male","ptpt","pt","Porto","PhD","4° Grade","4° Grade","no"
"20509",5,6,6,5,6,6,5,7,6,5,6,5,5,5,5,5,5,3,5,5,3,4,5,5,5,5,5,3,2,3,3,4,3,3,3,4,3,4,4,4,3,5,5,3,3,5,5,5,5,5,5,2,2,5,4,4,4,3,3,4,3,5,5,3,3,5,3,2,2,2,4,2,2,2,2,3,4,2,2,3,2,4,2,1,3,3,3,"eating less meat","High",21,"female","ptpt","pt","Porto","High School","High School","High School","no"
"20511",6,7,6,6,7,7,7,7,7,7,7,7,4,5,5,5,5,3,5,5,3,5,5,5,5,5,5,4,4,3,3,4,3,3,3,3,3,5,5,5,5,5,5,3,3,2,2,5,5,5,5,4,4,4,4,3,3,4,4,4,4,4,3,3,3,2,4,3,2,3,2,4,2,2,3,2,5,2,2,3,2,6,3,2,2,6,5,"taking public transport, cycling, or walking rather than driving","High",21,"female","ptpt","pt","Braga","High School","High School","High School","yes"
"20514",6,4,5,6,6,5,6,7,5,6,7,5,5,5,5,4,5,4,5,4,4,2,4,5,5,4,4,2,2,2,2,3,3,3,4,3,3,5,5,2,2,5,5,3,3,4,4,5,5,5,5,2,2,2,4,2,2,2,2,4,4,5,5,2,3,2,3,2,2,4,2,3,2,2,3,2,3,2,2,3,2,5,3,3,2,6,6,"making more eco-friendly purchases","High",30,"male","ptpt","pt","Porto","Master","Master","Master","no"
"20522",5,7,7,7,7,7,7,7,7,7,7,7,4,4,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,5,5,4,4,3,4,5,5,3,3,5,5,4,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,4,5,3,4,1,1,1,1,2,1,1,5,1,2,1,1,2,1,1,1,1,3,1,1,"eating less meat","High",46,"female","ptpt","pt","Santarém","Master","4° Grade","High School","yes"
