"intnr","id","inttime","ctry","weight","compd","gdr","b_y","b_m","ageq","smas1","smas2","smas3","smas4","smas5","smas6","smas7","smas8","smas9","smas"
296,1296,1555,"The Netherlands",0.994833360869473,"20210412","Boy",2008,6,12,4,5,4,3,2,2,4,2,4,3.33333333333333
298,1298,984,"The Netherlands",0.779388604867275,"20210410","Boy",2006,12,14,3,4,3,2,5,3,4,3,4,3.44444444444444
299,1299,786,"The Netherlands",0.883439178259921,"20210410","Girl",2008,1,13,4,4,3,3,3,3,3,3,3,3.22222222222222
300,1300,485,"The Netherlands",0.892578946982619,"20210409","Girl",2007,2,14,4,4,4,3,4,2,4,3,4,3.55555555555556
301,1301,561,"The Netherlands",0.80550529733629,"20210409","Boy",2006,11,14,3,4,3,4,4,4,4,5,2,3.66666666666667
303,1303,937,"The Netherlands",0.864677329199558,"20210420","Boy",2006,6,14,4,2,4,4,4,4,4,4,4,3.77777777777778
305,1305,995,"The Netherlands",0.857881866810138,"20210408","Girl",2007,8,13,3,4,2,1,2,2,2,2,2,2.22222222222222
308,1308,695,"The Netherlands",0.827928656274489,"20210412","Boy",2007,1,14,2,4,3,3,3,2,3,2,2,2.66666666666667
309,1309,597,"The Netherlands",0.76683422786695,"20210415","Boy",2006,10,14,4,3,2,3,2,3,2,2,4,2.77777777777778
312,1312,856,"The Netherlands",0.841026623125398,"20210422","Girl",2008,2,13,4,3,4,3,3,2,2,3,2,2.88888888888889
313,1313,468,"The Netherlands",1.45804912616508,"20210416","Girl",2007,9,13,3,3,3,3,3,3,3,3,2,2.88888888888889
314,1314,1232,"The Netherlands",1.12265917847105,"20210411","Girl",2006,11,14,3,4,3,4,4,3,3,5,4,3.66666666666667
315,1315,1117,"The Netherlands",0.95638178210464,"20210416","Girl",2006,12,14,4,3,3,3,3,2,2,3,4,3
316,1316,1272,"The Netherlands",0.897902576081357,"20210416","Girl",2007,8,13,4,4,2,3,3,2,4,5,5,3.55555555555556
317,1317,866,"The Netherlands",0.722544491263327,"20210409","Boy",2007,9,13,4,4,3,3,3,4,3,4,4,3.55555555555556
318,1318,550,"The Netherlands",0.76683422786695,"20210410","Boy",2007,4,14,2,3,3,2,2,2,3,3,4,2.66666666666667
321,1321,1087,"The Netherlands",0.979207448158197,"20210412","Girl",2007,1,14,4,4,3,3,4,4,2,4,4,3.55555555555556
322,1322,828,"The Netherlands",0.907191978320753,"20210410","Girl",2007,1,14,3,4,3,3,5,4,4,4,2,3.55555555555556
326,1326,930,"The Netherlands",0.921668688738217,"20210411","Boy",2008,10,12,4,2,4,1,3,4,4,4,2,3.11111111111111
327,1327,786,"The Netherlands",0.878356666070866,"20210409","Girl",2007,10,13,5,5,4,5,4,4,5,5,5,4.66666666666667
328,1328,1628,"The Netherlands",0.932197205794996,"20210409","Girl",2006,9,14,4,4,3,3,3,3,3,3,3,3.22222222222222
330,1330,433,"The Netherlands",1.42773144903969,"20210419","Boy",2007,5,13,3,4,4,3,2,4,1,3,4,3.11111111111111
331,1331,872,"The Netherlands",0.800871146403427,"20210427","Boy",2006,9,14,5,3,4,3,3,4,4,5,4,3.88888888888889
333,1333,267,"The Netherlands",0.771407874851546,"20210409","Boy",2007,7,13,3,4,3,3,3,3,3,3,3,3.11111111111111
334,1334,495,"The Netherlands",1.19120010074289,"20210416","Boy",2008,11,12,5,5,4,3,3,5,4,4,5,4.22222222222222
340,1340,429,"The Netherlands",1.96522580151583,"20210409","Girl",2008,7,12,4,4,4,3,3,4,3,4,3,3.55555555555556
343,1343,1183,"The Netherlands",1.14103901345652,"20210410","Girl",2006,10,14,3,4,5,3,4,4,5,1,5,3.77777777777778
344,1344,240,"The Netherlands",1.25721211413697,"20210413","Boy",2009,3,12,4,4,4,4,4,4,4,4,4,4
345,1345,606,"The Netherlands",0.779388604867275,"20210418","Boy",2007,1,14,4,5,3,3,4,5,1,4,5,3.77777777777778
346,1346,1299,"The Netherlands",0.907191978320753,"20210409","Girl",2007,2,14,3,4,1,2,3,4,3,5,3,3.11111111111111
352,1352,357,"The Netherlands",0.76683422786695,"20210412","Boy",2006,11,14,4,4,4,4,4,4,4,4,4,4
353,1353,610,"The Netherlands",1.38843342538306,"20210421","Boy",2007,2,14,3,4,3,5,4,4,3,4,4,3.77777777777778
354,1354,1012,"The Netherlands",1.07280300978368,"20210409","Girl",2008,7,12,4,4,3,1,4,4,4,5,4,3.66666666666667
355,1355,401,"The Netherlands",0.921668688738217,"20210417","Boy",2008,9,12,3,3,3,2,3,3,3,3,4,3
357,1357,464,"The Netherlands",0.835451628071235,"20210412","Girl",2008,3,13,4,3,4,3,4,4,3,3,4,3.55555555555556
358,1358,983,"The Netherlands",1.14515869692591,"20210409","Girl",2006,11,14,4,4,5,3,4,4,4,5,4,4.11111111111111
359,1359,895,"The Netherlands",1.05781820306437,"20210419","Girl",2007,10,13,4,4,4,4,4,4,3,4,3,3.77777777777778
362,1362,357,"The Netherlands",0.864677329199558,"20210409","Boy",2007,4,14,4,4,4,5,4,3,4,4,4,4
363,1363,551,"The Netherlands",0.980291742044676,"20210422","Boy",2006,7,14,3,3,3,2,3,2,3,3,3,2.77777777777778
364,1364,1197,"The Netherlands",0.897902576081357,"20210411","Girl",2008,3,13,4,3,4,4,3,4,4,4,3,3.66666666666667
370,1370,854,"The Netherlands",0.758982051300333,"20210411","Boy",2008,3,13,2,3,2,3,3,2,3,2,3,2.55555555555556
